trackName;artistName;endTime;msPlayed;TrackID;Popularity;msDuration;Release_day;Uri;Acousticness;Danceability;Energy;Speechiness;Instrumentalness;Liveness;Valence;Loudeness;Tempo;Time_signature;Key;Mode;uri2;id2
perso nel buio (con Madame);sangiovanni;24/01/2024 19:08;0;3M5rbwyOMpjb3Ge277ILVT;43;170400;13/05/2021;spotify:track:3M5rbwyOMpjb3Ge277ILVT;0.217;0.66;0.851;0.151;0.0;0.215;0.365;-5.39;100.162;4;4;0;spotify:track:3M5rbwyOMpjb3Ge277ILVT;3M5rbwyOMpjb3Ge277ILVT
LA CODA DEL DIAVOLO (con ELODIE);Rkomi;24/01/2024 19:08;0;6oYcyS6salzWI1ysjEScFh;65;188975;30/11/2021;spotify:track:6oYcyS6salzWI1ysjEScFh;0.132;0.481;0.748;0.356;7.77e-06;0.126;0.549;-6.007;128.777;4;6;0;spotify:track:6oYcyS6salzWI1ysjEScFh;6oYcyS6salzWI1ysjEScFh
Tutto con te;Olly;24/01/2024 19:08;541;7lT1FcTvo0yrfpQD2Vs2XR;51;158400;10/02/2023;spotify:track:7lT1FcTvo0yrfpQD2Vs2XR;0.276;0.554;0.66;0.165;0.0;0.159;0.863;-6.694;150.065;4;8;1;spotify:track:7lT1FcTvo0yrfpQD2Vs2XR;7lT1FcTvo0yrfpQD2Vs2XR
SOGNI D'ORO;Lazza;24/01/2024 19:08;42271;2tKH7kT40eTSp8SCf6VKeH;61;157467;07/04/2022;spotify:track:2tKH7kT40eTSp8SCf6VKeH;0.156;0.684;0.726;0.146;0.0;0.376;0.108;-5.754;81.508;4;6;0;spotify:track:2tKH7kT40eTSp8SCf6VKeH;2tKH7kT40eTSp8SCf6VKeH
MI FAI IMPAZZIRE;BLANCO;24/01/2024 19:08;148;1x3Qb8np6S1UvpSLthwEJN;63;220235;17/06/2021;spotify:track:1x3Qb8np6S1UvpSLthwEJN;0.00273;0.477;0.844;0.0458;0.0;0.137;0.203;-4.87;169.941;4;11;1;spotify:track:1x3Qb8np6S1UvpSLthwEJN;1x3Qb8np6S1UvpSLthwEJN
LA CODA DEL DIAVOLO (con ELODIE);Rkomi;24/01/2024 19:08;134;6oYcyS6salzWI1ysjEScFh;65;188975;30/11/2021;spotify:track:6oYcyS6salzWI1ysjEScFh;0.132;0.481;0.748;0.356;7.77e-06;0.126;0.549;-6.007;128.777;4;6;0;spotify:track:6oYcyS6salzWI1ysjEScFh;6oYcyS6salzWI1ysjEScFh
NUVOLA;Holden;24/01/2024 19:07;169484;305DlkOzRc0TYoKQr00Kud;62;169483;12/12/2023;spotify:track:305DlkOzRc0TYoKQr00Kud;0.0585;0.476;0.533;0.0473;0.0;0.204;0.479;-7.15;156.055;4;0;1;spotify:track:305DlkOzRc0TYoKQr00Kud;305DlkOzRc0TYoKQr00Kud
ROMA;Il Tre;24/01/2024 19:05;149985;07fvtrElvlA3Jy54TTe27C;51;150130;15/09/2023;spotify:track:07fvtrElvlA3Jy54TTe27C;0.423;0.678;0.836;0.127;0.0;0.109;0.314;-5.499;115.032;4;11;1;spotify:track:07fvtrElvlA3Jy54TTe27C;07fvtrElvlA3Jy54TTe27C
La Notte Vola - RMX (feat. Lorella Cuccarini);Olly;24/01/2024 19:02;142503;7MXfWsAPAFvAuUWid9UxU0;51;142714;10/02/2023;spotify:track:7MXfWsAPAFvAuUWid9UxU0;0.232;0.645;0.708;0.173;0.0;0.0949;0.593;-6.324;139.979;4;1;1;spotify:track:7MXfWsAPAFvAuUWid9UxU0;7MXfWsAPAFvAuUWid9UxU0
IL BENE NEL MALE;Madame;24/01/2024 19:00;213030;1r2uadbNnJrNjuupsFGXJJ;58;213143;30/03/2023;spotify:track:1r2uadbNnJrNjuupsFGXJJ;0.234;0.833;0.708;0.0573;0.0587;0.0973;0.603;-8.511;119.003;4;3;0;spotify:track:1r2uadbNnJrNjuupsFGXJJ;1r2uadbNnJrNjuupsFGXJJ
